student_id,department,subject_name,feedback_text,preprocessed_text,sentiment_label,sarcasm_flag,emotion_tag,feedback_type,subject_specific_context,response_required
STU0001,CIVIL,Concrete Tech,Attack medical dog technology top several inside enough.,attack medical dog technology top several inside enough,negative,0,anger,Infrastructure,Project-Based,1
STU0002,CIVIL,Concrete Tech,Wait worry speak program child past beautiful write kid radio live blue here staff.,wait worry speak program child past beautiful write kid radio live blue here staff,positive,0,anger,Infrastructure,Lab-Intensive,0
STU0003,BIO,Genetics,Bank those report box your treatment accept interesting purpose body price nature car bar section final real.,bank those report box your treatment accept interesting purpose body price nature car bar section final real,neutral,0,sadness,Academic,Project-Based,1
STU0004,ME,Fluid Mechanics,Can character million listen right amount ask score election.,can character million listen right amount ask score election,positive,0,joy,Academic,Theory-Heavy,0
STU0005,ME,Fluid Mechanics,Good cost political street dream finish figure.,good cost political street dream finish figure,negative,0,surprise,Academic,Theory-Heavy,1
STU0006,CS,Cybersecurity,Month leave doctor single vote say reach be skin source trial.,month leave doctor single vote say reach be skin source trial,negative,0,sadness,Infrastructure,Project-Based,1
STU0007,CIVIL,Concrete Tech,Measure challenge series material I history least issue energy anyone.,measure challenge series material i history least issue energy anyone,neutral,0,joy,Academic,Project-Based,1
STU0008,ME,Fluid Mechanics,Small message what executive certain evidence way meeting always tend song leader from maybe sure catch.,small message what executive certain evidence way meeting always tend song leader from maybe sure catch,positive,0,neutral,Instructor,Lab-Intensive,0
STU0009,BIO,Genetics,Civil eat memory become beyond interview fall full your staff success event.,civil eat memory become beyond interview fall full your staff success event,negative,0,fear,Instructor,Lab-Intensive,1
STU0010,CIVIL,Concrete Tech,Machine tend simply beat which when remain why reason two simply.,machine tend simply beat which when remain why reason two simply,negative,0,anger,Academic,Theory-Heavy,1
STU0011,ECE,Embedded Systems,Cultural budget song audience mention officer management pretty nature ball miss.,cultural budget song audience mention officer management pretty nature ball miss,positive,1,neutral,Instructor,Project-Based,1
STU0012,ECE,Embedded Systems,Find over this really the white name price card.,find over this really the white name price card,positive,0,surprise,Infrastructure,Theory-Heavy,1
STU0013,BIO,Microbiology,Model machine pressure attention perhaps measure plan risk.,model machine pressure attention perhaps measure plan risk,positive,1,surprise,Instructor,Project-Based,0
STU0014,MBA,Finance,Name reflect spend time hour rule relate meeting themselves.,name reflect spend time hour rule relate meeting themselves,neutral,0,fear,Infrastructure,Project-Based,1
STU0015,ECE,Embedded Systems,Difficult building value baby of fall direction store business right another white.,difficult building value baby of fall direction store business right another white,positive,0,joy,Infrastructure,Lab-Intensive,0
STU0016,CIVIL,Surveying,Safe sing miss within site threat also member economy will reach condition pull than.,safe sing miss within site threat also member economy will reach condition pull than,positive,0,fear,Academic,Lab-Intensive,1
STU0017,BIO,Genetics,Indeed scene their this fast Mrs decision turn realize.,indeed scene their this fast mrs decision turn realize,negative,1,sadness,Infrastructure,Lab-Intensive,1
STU0018,BIO,Genetics,Really doctor yourself none society huge organization receive focus woman outside.,really doctor yourself none society huge organization receive focus woman outside,positive,0,surprise,Academic,Lab-Intensive,1
STU0019,ECE,Digital Circuits,Camera stand war land present though feel gas mother evening thing.,camera stand war land present though feel gas mother evening thing,negative,1,sadness,Academic,Project-Based,1
STU0020,ENG,Poetry,Attorney only goal turn time through.,attorney only goal turn time through,negative,0,surprise,Academic,Project-Based,1
STU0021,CIVIL,Surveying,Open sea interview woman study card whole watch effort short cover task film thank book.,open sea interview woman study card whole watch effort short cover task film thank book,positive,0,surprise,Instructor,Project-Based,0
STU0022,CIVIL,Surveying,Challenge store notice law plan position dark more state term several them city billion think natural push song.,challenge store notice law plan position dark more state term several them city billion think natural push song,negative,0,fear,Infrastructure,Theory-Heavy,1
STU0023,CS,Data Structures,Political share option suffer let how despite be may style understand walk appear fight.,political share option suffer let how despite be may style understand walk appear fight,positive,0,surprise,Academic,Lab-Intensive,0
STU0024,CS,Data Structures,Thought eight receive issue activity.,thought eight receive issue activity,positive,1,sadness,Academic,Lab-Intensive,0
STU0025,ME,Fluid Mechanics,Their reach teach wide away contain news understand watch.,their reach teach wide away contain news understand watch,neutral,0,surprise,Infrastructure,Theory-Heavy,0
